Year,Burkina Faso,Congo,Mozambique,Niger,Nigeria,Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,6,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,
2006,10,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,22.8,,6,26,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,47.4,,,63.7,29.4,63.6,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,35.7,,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,26.3,,20.1,,72,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,75.3,,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,60.5,47.9,95.5,43.6,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,54.4,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,49.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,